files_changed,lines_added,lines_deleted,churn,test_count,test_failures,coverage,pipeline_duration_s,jobs_total,message_length,prev_7d_failure_rate,prev_30d_failure_rate,flaky_tests_count,infra_alerts_count,artifact_size_mb,cache_hit_rate,security_alerts_count,hour,churn_per_file,test_fail_rate,author_experience_log,had_hotfix_keyword,dependency_updates,is_weekend,repo_auth-service,repo_cdn-orchestrator,repo_data-platform,repo_edge-gateway,repo_observability-hub,repo_payments-api,trigger_manual,trigger_pull_request,trigger_push,trigger_schedule,trigger_tag,runner_os_macos-14,runner_os_ubuntu-22.04,runner_os_windows-2022,day_of_week_Friday,day_of_week_Monday,day_of_week_Saturday,day_of_week_Sunday,day_of_week_Thursday,day_of_week_Tuesday,day_of_week_Wednesday,author_engineer_01,author_engineer_02,author_engineer_03,author_engineer_04,author_engineer_05,author_engineer_06,author_engineer_07,author_engineer_08,author_engineer_09,author_engineer_10,author_engineer_11,author_engineer_12,author_engineer_13,author_engineer_14,author_engineer_15,author_engineer_16,author_engineer_17,author_engineer_18,author_engineer_19,author_engineer_20,author_engineer_21,author_engineer_22,author_engineer_23,author_engineer_24,author_engineer_25,author_engineer_26,author_engineer_27,author_engineer_28,author_engineer_29,author_engineer_30,author_engineer_31,author_engineer_32,author_engineer_33,author_engineer_34,author_engineer_35,author_engineer_36,author_engineer_37,author_engineer_38,author_engineer_39,author_engineer_40,success
1,500.0,50.0,550.0,34,0,64.70749217078543,1144.0,15,100,0.1290767235156406,0.2230825706955125,0,0,445.65709200952375,0.4773431561458466,0,8,550.0,0.0,3.332204510175204,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22,54.0,228.0,282.0,37,1,73.5668910855088,241.0,50,202,0.4122328372539466,0.3379480851587855,1,0,887.3358923114945,0.3865862342445586,0,8,12.818181818181818,0.027027027027027,6.045005314036012,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,366.0,62.0,428.0,41,0,80.05511112849643,44.0,10,156,0.2586744431947159,0.3016666366916062,0,0,1200.0,0.5629890471598902,0,8,85.6,0.0,2.995732273553991,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,244.0,43.0,287.0,107,1,58.21740338203845,264.0,14,46,0.3206055415976239,0.1277028086966041,0,0,777.7048448960707,0.7422373823057108,0,9,95.66666666666669,0.0093457943925233,4.624972813284271,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,592.0,401.0,993.0,38,1,71.71366178580317,938.0,33,100,0.2160094104503685,0.131918692563972,0,0,1200.0,0.3601872643796204,0,9,993.0,0.0263157894736842,4.02535169073515,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6,164.0,204.0,368.0,27,0,61.68079003094581,384.0,9,156,0.2606138107705735,0.0525813878240185,1,0,1200.0,0.4820845871635413,0,9,61.333333333333336,0.0,3.49650756146648,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,529.0,787.0,1316.0,86,3,68.79484403109298,141.0,14,108,0.4468427238489205,0.3403776521214176,0,0,737.1408635424646,0.7686534304714406,0,10,658.0,0.0348837209302325,3.218875824868201,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,253.0,146.0,399.0,8,1,93.3490059504228,204.0,19,140,0.1932790475831847,0.3044116233985678,0,1,1200.0,0.6241407037077781,0,10,199.5,0.125,3.4657359027997265,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,733.0,1774.199999999999,2711.0,96,1,89.3613247488527,117.0,15,108,0.3733544314713802,0.2788932766604001,0,1,1200.0,0.6319089147076438,0,10,1355.5,0.0104166666666666,3.6375861597263857,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,270.0,506.0,776.0,152,0,99.54053519399224,121.0,10,64,0.1595376349022162,0.077390377658484,1,0,732.3743955234589,0.7956467739779054,0,11,55.42857142857143,0.0,3.258096538021482,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
